PM2.5,CO2,VOC,Temperature,Humidity,AQI
15,762,499,35,46,Good
69,1788,389,21,50,Poor
83,811,312,32,41,Poor
63,1156,118,33,69,Poor
130,1509,337,24,42,Hazardous
169,1970,69,23,71,Hazardous
161,1140,158,36,57,Hazardous
99,1572,369,27,66,Poor
47,1707,394,26,59,Moderate
34,1757,466,37,77,Moderate
58,1530,442,28,46,Moderate
71,936,454,22,46,Poor
64,1276,144,31,73,Poor
141,1663,140,20,53,Hazardous
82,1957,458,38,75,Poor
29,540,350,21,81,Good
43,665,472,28,55,Moderate
144,1642,276,35,58,Hazardous
153,1563,108,29,41,Hazardous
98,1939,389,32,70,Poor
45,1733,200,33,74,Moderate
117,1463,287,23,61,Hazardous
101,774,81,22,42,Hazardous
78,920,380,29,51,Poor
171,662,403,22,83,Hazardous
24,1105,147,28,78,Good
33,1403,247,20,82,Moderate
27,1460,359,26,39,Good
46,541,160,23,81,Moderate
70,839,394,29,30,Poor
142,1867,459,37,45,Hazardous
94,1444,454,24,36,Poor
81,1108,369,34,47,Poor
58,909,455,31,59,Moderate
129,1772,413,30,49,Hazardous
121,861,297,38,49,Hazardous
25,1315,65,37,35,Good
179,1878,360,26,68,Hazardous
37,1367,371,20,78,Moderate
57,567,414,36,55,Moderate
96,1324,466,31,61,Poor
158,1016,86,29,47,Hazardous
25,1288,150,24,37,Good
118,626,137,35,50,Hazardous
71,1819,452,32,64,Poor
110,1296,363,24,47,Hazardous
142,945,109,33,72,Hazardous
137,1997,477,22,42,Hazardous
67,1781,449,23,47,Poor
118,830,452,27,52,Hazardous
84,1665,275,32,44,Poor
14,997,206,37,71,Good
60,364,372,32,37,Poor
16,1580,407,37,30,Good
155,1290,499,20,57,Hazardous
28,1717,424,38,58,Good
70,1769,340,31,72,Poor
96,955,490,37,63,Poor
173,1436,319,33,67,Hazardous
103,382,235,27,78,Hazardous
66,1573,101,29,85,Poor
120,1461,446,26,78,Hazardous
119,1959,110,37,40,Hazardous
155,1855,327,24,37,Hazardous
6,847,95,30,76,Good
109,1979,63,37,53,Hazardous
31,1012,228,21,72,Moderate
89,1266,91,25,66,Poor
16,1941,497,37,71,Good
102,394,292,31,43,Hazardous
18,1331,188,32,37,Good
25,1474,430,26,62,Good
168,1997,103,30,77,Hazardous
170,872,384,20,63,Hazardous
87,1893,185,28,73,Poor
129,426,378,26,69,Hazardous
16,825,273,29,31,Good
154,1806,131,26,61,Hazardous
155,1961,57,23,44,Hazardous
104,726,352,24,58,Hazardous
11,1438,390,28,84,Good
81,1540,351,24,70,Poor
55,474,256,28,53,Moderate
162,1390,274,37,68,Hazardous
138,1420,220,29,73,Hazardous
112,1853,364,24,80,Hazardous
161,479,218,23,74,Hazardous
158,1886,74,20,71,Hazardous
167,1572,225,35,60,Hazardous
105,1683,180,22,41,Hazardous
42,1070,406,38,34,Moderate
55,1383,165,31,34,Moderate
63,1201,137,21,79,Poor
54,1838,300,24,51,Moderate
168,1485,126,33,85,Hazardous
101,1443,433,36,30,Hazardous
96,1912,223,29,82,Poor
76,1313,320,24,54,Poor
27,483,429,28,48,Good
71,1412,245,34,83,Poor
70,855,166,22,49,Poor
41,1503,86,31,78,Moderate
145,1113,336,32,31,Hazardous
173,1587,115,37,73,Hazardous
